#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6383206;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6383218;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;20 ;" ";1;1;COM3;;
6383230;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;0c ;".";1;1;COM3;;
6383242;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;d3 ;"”";1;1;COM3;;
6383266;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6383275;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6383287;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6383302;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;20 ;" ";1;1;COM3;;
6383311;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
6383326;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;d2 ;"“";1;1;COM3;;
6383350;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6383359;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6383371;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6383383;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;20 ;" ";1;1;COM3;;
6383395;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;0f ;".";1;1;COM3;;
6383407;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;d0 ;"–";1;1;COM3;;
6383434;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6383446;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6383458;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6383470;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;20 ;" ";1;1;COM3;;
6383482;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;10 ;".";1;1;COM3;;
6383494;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;cf ;"œ";1;1;COM3;;
6383518;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6383527;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6383539;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6383551;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;20 ;" ";1;1;COM3;;
6383563;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;11 ;".";1;1;COM3;;
6383575;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;ce ;"Œ";1;1;COM3;;
6383602;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6383611;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6383626;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6383638;05/05/2020 21:12:44;IRP_MJ_WRITE;DOWN;;20 ;" ";1;1;COM3;;
