#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6373551;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6373566;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6373578;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;0c ;".";1;1;COM3;;
6373589;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;ad ;"≠";1;1;COM3;;
6373614;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6373626;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6373638;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6373650;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6373662;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
6373674;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;ac ;"¨";1;1;COM3;;
6373698;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6373710;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6373722;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6373734;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6373746;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;0f ;".";1;1;COM3;;
6373758;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;aa ;"™";1;1;COM3;;
6373782;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6373794;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6373803;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6373818;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6373830;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;10 ;".";1;1;COM3;;
6373842;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;a9 ;"©";1;1;COM3;;
6373866;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6373878;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6373890;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6373902;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6373914;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;10 ;".";1;1;COM3;;
6373926;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;a9 ;"©";1;1;COM3;;
6373950;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6373962;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6373971;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6373983;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6373998;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;11 ;".";1;1;COM3;;
6374009;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;a8 ;"®";1;1;COM3;;
6374034;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6374046;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374058;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374070;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6374082;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;13 ;".";1;1;COM3;;
6374094;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;a6 ;"¶";1;1;COM3;;
6374118;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6374130;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374142;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374154;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6374166;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;14 ;".";1;1;COM3;;
6374175;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;a5 ;"•";1;1;COM3;;
6374202;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6374212;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374226;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6374238;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6374250;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;15 ;".";1;1;COM3;;
