#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6657752;05/05/2020 21:17:55;IRP_MJ_WRITE;DOWN;;8e ;"Ž";1;1;COM3;;
6657764;05/05/2020 21:17:55;IRP_MJ_WRITE;DOWN;;33 ;"3";1;1;COM3;;
6657776;05/05/2020 21:17:55;IRP_MJ_WRITE;DOWN;;3e ;">";1;1;COM3;;
6657922;05/05/2020 21:17:55;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
6657934;05/05/2020 21:17:55;IRP_MJ_WRITE;DOWN;;87 ;"‡";1;1;COM3;;
6657944;05/05/2020 21:17:55;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6657957;05/05/2020 21:17:55;IRP_MJ_WRITE;DOWN;;78 ;"x";1;1;COM3;;
6658036;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6658048;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6658060;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;ab ;"«";1;1;COM3;;
6658072;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;01 ;".";1;1;COM3;;
6658084;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;3a ;":";1;1;COM3;;
6658096;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6658108;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6658120;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;ab ;"«";1;1;COM3;;
6658132;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6658144;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;3b ;";";1;1;COM3;;
6658156;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;03 ;".";1;1;COM3;;
6658168;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;8e ;"Ž";1;1;COM3;;
6658180;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;32 ;"2";1;1;COM3;;
6658192;05/05/2020 21:17:57;IRP_MJ_WRITE;DOWN;;3f ;"?";1;1;COM3;;
