#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
5831580;05/05/2020 20:28:17;IRP_MJ_CLOSE;DOWN;;;"";;;COM3;;
5831582;05/05/2020 20:28:17;IRP_MJ_CREATE;DOWN;;;"D:\Program Files (x86)\C-Mexx Software\THE VISUALIZER\The Visualizer 02RPatched.exe";;;COM3;;
5831643;05/05/2020 20:28:18;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
5831655;05/05/2020 20:28:18;IRP_MJ_WRITE;DOWN;;1f ;".";1;1;COM3;;
5831667;05/05/2020 20:28:18;IRP_MJ_WRITE;DOWN;;30 ;"0";1;1;COM3;;
5831679;05/05/2020 20:28:18;IRP_MJ_WRITE;DOWN;;30 ;"0";1;1;COM3;;
5831690;05/05/2020 20:28:18;IRP_MJ_WRITE;DOWN;;73 ;"s";1;1;COM3;;
5831703;05/05/2020 20:28:18;IRP_MJ_WRITE;DOWN;;0d ;".";1;1;COM3;;
5831718;05/05/2020 20:28:18;IRP_MJ_CLOSE;DOWN;;;"";;;COM3;;
